PRODUCTKEY,PRODUCTALTERNATEKEY,PRODUCTSUBCATEGORYKEY,WEIGHTUNITMEASURECODE,SIZEUNITMEASURECODE,ENGLISHPRODUCTNAME,STANDARDCOST,FINISHEDGOODSFLAG,COLOR,SAFETYSTOCKLEVEL,REORDERPOINT,LISTPRICE,SIZEACTUAL,SIZERANGE,WEIGHT,DAYSTOMANUFACTURE,PRODUCTLINE,DEALERPRICE,CLASS,STYLE,MODELNAME,ENGLISHDESCRIPTION,STARTDATE,ENDDATE,STATUS
482,SO-R809-L,23,,,"Racing Socks, L",3,1,White,4,3,8.99,L,L,,0,R ,5,,U ,Racing Socks,"Thin, lightweight and durable with cuffs that stay up.",2003-07-01,,Current
483,RA-H123,26,,,Hitch Rack - 4-Bike,45,1,NA,4,3,120.0,,NA,,0,S ,72,,,Hitch Rack - 4-Bike,"Carries 4 bikes securely; steel construction, fits 2"" receiver hitch.",2003-07-01,,Current
484,CL-9009,29,,,Bike Wash - Dissolver,3,1,NA,4,3,7.95,,NA,,0,S ,5,,,Bike Wash,"Washes off the toughest road grime; dissolves grease, environmentally safe. 1-liter bottle.",2003-07-01,,Current
485,FE-6654,30,,,Fender Set - Mountain,8,1,NA,4,3,21.98,,NA,,0,M ,13,,,Fender Set - Mountain,Clip-on fenders fit most mountain bikes.,2003-07-01,,Current
486,ST-1401,27,,,All-Purpose Bike Stand,59,1,NA,4,3,159.0,,NA,,0,M ,95,,,All-Purpose Bike Stand,Perfect all-purpose bike stand for working on your bike at home. Quick-adjusting clamps and steel construction.,2003-07-01,,Current
487,HY-1023-70,32,,,Hydration Pack - 70 oz.,21,1,Silver,4,3,54.99,70,70,,0,S ,33,,,Hydration Pack,"Versatile 70 oz hydration pack offers extra storage, easy-fill access, and a waist belt.",2003-07-01,,Current
488,SJ-0194-S,21,,,"Short-Sleeve Classic Jersey, S",42,1,Yellow,4,3,53.99,S,S,,0,S ,32,,U ,Short-Sleeve Classic Jersey,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",2003-07-01,,Current
489,SJ-0194-M,21,,,"Short-Sleeve Classic Jersey, M",42,1,Yellow,4,3,53.99,M,M,,0,S ,32,,U ,Short-Sleeve Classic Jersey,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",2003-07-01,,Current
490,SJ-0194-L,21,,,"Short-Sleeve Classic Jersey, L",42,1,Yellow,4,3,53.99,L,L,,0,S ,32,,U ,Short-Sleeve Classic Jersey,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",2003-07-01,,Current
491,SJ-0194-X,21,,,"Short-Sleeve Classic Jersey, XL",42,1,Yellow,4,3,53.99,XL,XL,,0,S ,32,,U ,Short-Sleeve Classic Jersey,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",2003-07-01,,Current
310,BK-R93R-62,2,LB ,CM ,"Road-150 Red, 62",2171,1,Red,100,75,3578.27,62,60-62 CM,15.0,4,R ,2147,H ,U ,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",2001-07-01,2002-06-30,
311,BK-R93R-44,2,LB ,CM ,"Road-150 Red, 44",2171,1,Red,100,75,3578.27,44,42-46 CM,13.77,4,R ,2147,H ,U ,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",2001-07-01,2002-06-30,
312,BK-R93R-48,2,LB ,CM ,"Road-150 Red, 48",2171,1,Red,100,75,3578.27,48,48-52 CM,14.13,4,R ,2147,H ,U ,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",2001-07-01,2002-06-30,
313,BK-R93R-52,2,LB ,CM ,"Road-150 Red, 52",2171,1,Red,100,75,3578.27,52,48-52 CM,14.42,4,R ,2147,H ,U ,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",2001-07-01,2002-06-30,
314,BK-R93R-56,2,LB ,CM ,"Road-150 Red, 56",2171,1,Red,100,75,3578.27,56,54-58 CM,14.68,4,R ,2147,H ,U ,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",2001-07-01,2002-06-30,
320,BK-R50R-58,2,LB ,CM ,"Road-650 Red, 58",413,1,Red,100,75,699.1,58,54-58 CM,19.79,4,R ,419,L ,U ,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2001-07-01,2002-06-30,
321,BK-R50R-58,2,LB ,CM ,"Road-650 Red, 58",487,1,Red,100,75,782.99,58,54-58 CM,19.79,4,R ,470,L ,U ,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2002-07-01,2003-06-30,
322,BK-R50R-60,2,LB ,CM ,"Road-650 Red, 60",413,1,Red,100,75,699.1,60,60-62 CM,19.9,4,R ,419,L ,U ,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2001-07-01,2002-06-30,
323,BK-R50R-60,2,LB ,CM ,"Road-650 Red, 60",487,1,Red,100,75,782.99,60,60-62 CM,19.9,4,R ,470,L ,U ,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2002-07-01,2003-06-30,
324,BK-R50R-62,2,LB ,CM ,"Road-650 Red, 62",413,1,Red,100,75,699.1,62,60-62 CM,20.0,4,R ,419,L ,U ,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2001-07-01,2002-06-30,
349,BK-M82B-42,1,LB ,CM ,"Mountain-100 Black, 42",1898,1,Black,100,75,3374.99,42,42-46 CM,20.77,4,M ,2025,H ,U ,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",2001-07-01,2002-06-30,
350,BK-M82B-44,1,LB ,CM ,"Mountain-100 Black, 44",1898,1,Black,100,75,3374.99,44,42-46 CM,21.13,4,M ,2025,H ,U ,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",2001-07-01,2002-06-30,
351,BK-M82B-48,1,LB ,CM ,"Mountain-100 Black, 48",1898,1,Black,100,75,3374.99,48,48-52 CM,21.42,4,M ,2025,H ,U ,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",2001-07-01,2002-06-30,
352,BK-M68S-38,1,LB ,CM ,"Mountain-200 Silver, 38",1118,1,Silver,100,75,2071.42,38,38-40 CM,23.35,4,M ,1243,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2002-07-01,2003-06-30,
353,BK-M68S-38,1,LB ,CM ,"Mountain-200 Silver, 38",1266,1,Silver,100,75,2319.99,38,38-40 CM,23.35,4,M ,1392,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2003-07-01,,Current
354,BK-M68S-42,1,LB ,CM ,"Mountain-200 Silver, 42",1118,1,Silver,100,75,2071.42,42,42-46 CM,23.77,4,M ,1243,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2002-07-01,2003-06-30,
355,BK-M68S-42,1,LB ,CM ,"Mountain-200 Silver, 42",1266,1,Silver,100,75,2319.99,42,42-46 CM,23.77,4,M ,1392,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2003-07-01,,Current
356,BK-M68S-46,1,LB ,CM ,"Mountain-200 Silver, 46",1118,1,Silver,100,75,2071.42,46,42-46 CM,24.13,4,M ,1243,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2002-07-01,2003-06-30,
357,BK-M68S-46,1,LB ,CM ,"Mountain-200 Silver, 46",1266,1,Silver,100,75,2319.99,46,42-46 CM,24.13,4,M ,1392,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2003-07-01,,Current
358,BK-M68B-38,1,LB ,CM ,"Mountain-200 Black, 38",1106,1,Black,100,75,2049.1,38,38-40 CM,23.35,4,M ,1229,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2002-07-01,2003-06-30,
359,BK-M68B-38,1,LB ,CM ,"Mountain-200 Black, 38",1252,1,Black,100,75,2294.99,38,38-40 CM,23.35,4,M ,1377,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2003-07-01,,Current
360,BK-M68B-42,1,LB ,CM ,"Mountain-200 Black, 42",1106,1,Black,100,75,2049.1,42,42-46 CM,23.77,4,M ,1229,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2002-07-01,2003-06-30,
361,BK-M68B-42,1,LB ,CM ,"Mountain-200 Black, 42",1252,1,Black,100,75,2294.99,42,42-46 CM,23.77,4,M ,1377,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2003-07-01,,Current
362,BK-M68B-46,1,LB ,CM ,"Mountain-200 Black, 46",1106,1,Black,100,75,2049.1,46,42-46 CM,24.13,4,M ,1229,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2002-07-01,2003-06-30,
363,BK-M68B-46,1,LB ,CM ,"Mountain-200 Black, 46",1252,1,Black,100,75,2294.99,46,42-46 CM,24.13,4,M ,1377,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,2003-07-01,,Current
368,BK-R89R-44,2,LB ,CM ,"Road-250 Red, 44",1519,1,Red,100,75,2443.35,44,42-46 CM,14.77,4,R ,1466,H ,U ,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2002-07-01,2003-06-30,
369,BK-R89R-48,2,LB ,CM ,"Road-250 Red, 48",1519,1,Red,100,75,2443.35,48,48-52 CM,15.13,4,R ,1466,H ,U ,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2002-07-01,2003-06-30,
583,BK-R79Y-48,2,LB ,CM ,"Road-350-W Yellow, 48",1083,1,Yellow,100,75,1700.99,48,48-52 CM,16.42,4,R ,1021,M ,W ,Road-350-W,"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.",2003-07-01,,Current
584,BK-R19B-58,2,LB ,CM ,"Road-750 Black, 58",344,1,Black,100,75,539.99,58,54-58 CM,20.79,4,R ,324,L ,U ,Road-750,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.,2003-07-01,,Current
585,BK-T18U-44,3,LB ,CM ,"Touring-3000 Blue, 44",461,1,Blue,100,75,742.35,44,42-46 CM,28.77,4,T ,445,L ,U ,Touring-3000,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.",2003-07-01,,Current
586,BK-T18U-50,3,LB ,CM ,"Touring-3000 Blue, 50",461,1,Blue,100,75,742.35,50,48-52 CM,29.13,4,T ,445,L ,U ,Touring-3000,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.",2003-07-01,,Current
587,BK-M38S-38,1,LB ,CM ,"Mountain-400-W Silver, 38",420,1,Silver,100,75,769.49,38,38-40 CM,26.35,4,M ,462,M ,W ,Mountain-400-W,"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.",2003-07-01,,Current
588,BK-M38S-40,1,LB ,CM ,"Mountain-400-W Silver, 40",420,1,Silver,100,75,769.49,40,38-40 CM,26.77,4,M ,462,M ,W ,Mountain-400-W,"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.",2003-07-01,,Current
589,BK-M38S-42,1,LB ,CM ,"Mountain-400-W Silver, 42",420,1,Silver,100,75,769.49,42,42-46 CM,27.13,4,M ,462,M ,W ,Mountain-400-W,"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.",2003-07-01,,Current
590,BK-M38S-46,1,LB ,CM ,"Mountain-400-W Silver, 46",420,1,Silver,100,75,769.49,46,42-46 CM,27.42,4,M ,462,M ,W ,Mountain-400-W,"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.",2003-07-01,,Current
591,BK-M18S-40,1,LB ,CM ,"Mountain-500 Silver, 40",308,1,Silver,100,75,564.99,40,38-40 CM,27.35,4,M ,339,L ,U ,Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",2003-07-01,,Current
592,BK-M18S-42,1,LB ,CM ,"Mountain-500 Silver, 42",308,1,Silver,100,75,564.99,42,42-46 CM,27.77,4,M ,339,L ,U ,Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",2003-07-01,,Current
593,BK-M18S-44,1,LB ,CM ,"Mountain-500 Silver, 44",308,1,Silver,100,75,564.99,44,42-46 CM,28.13,4,M ,339,L ,U ,Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",2003-07-01,,Current
594,BK-M18S-48,1,LB ,CM ,"Mountain-500 Silver, 48",308,1,Silver,100,75,564.99,48,48-52 CM,28.42,4,M ,339,L ,U ,Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",2003-07-01,,Current
595,BK-M18S-52,1,LB ,CM ,"Mountain-500 Silver, 52",308,1,Silver,100,75,564.99,52,48-52 CM,28.68,4,M ,339,L ,U ,Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",2003-07-01,,Current
596,BK-M18B-40,1,LB ,CM ,"Mountain-500 Black, 40",295,1,Black,100,75,539.99,40,38-40 CM,27.35,4,M ,324,L ,U ,Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",2003-07-01,,Current
597,BK-M18B-42,1,LB ,CM ,"Mountain-500 Black, 42",295,1,Black,100,75,539.99,42,42-46 CM,27.77,4,M ,324,L ,U ,Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",2003-07-01,,Current
598,BK-M18B-44,1,LB ,CM ,"Mountain-500 Black, 44",295,1,Black,100,75,539.99,44,42-46 CM,28.13,4,M ,324,L ,U ,Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",2003-07-01,,Current
599,BK-M18B-48,1,LB ,CM ,"Mountain-500 Black, 48",295,1,Black,100,75,539.99,48,48-52 CM,28.42,4,M ,324,L ,U ,Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",2003-07-01,,Current
600,BK-M18B-52,1,LB ,CM ,"Mountain-500 Black, 52",295,1,Black,100,75,539.99,52,48-52 CM,28.68,4,M ,324,L ,U ,Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.",2003-07-01,,Current
604,BK-R19B-44,2,LB ,CM ,"Road-750 Black, 44",344,1,Black,100,75,539.99,44,42-46 CM,19.77,4,R ,324,L ,U ,Road-750,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.,2003-07-01,,Current
605,BK-R19B-48,2,LB ,CM ,"Road-750 Black, 48",344,1,Black,100,75,539.99,48,48-52 CM,20.13,4,R ,324,L ,U ,Road-750,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.,2003-07-01,,Current
606,BK-R19B-52,2,LB ,CM ,"Road-750 Black, 52",344,1,Black,100,75,539.99,52,48-52 CM,20.42,4,R ,324,L ,U ,Road-750,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.,2003-07-01,,Current
